id,Rout ID,Route,Bus stop name,Latitude,Longitude
238,0,Circulation line clockwise,____,34.952517,137.09244
239,0,Circulation line clockwise,__,34.952585,137.087719
240,0,Circulation line clockwise,____,34.949877,137.085777
241,0,Circulation line clockwise,_____,34.947522,137.084076
242,0,Circulation line clockwise,______,34.940746,137.078221
244,0,Circulation line clockwise,___,34.943536,137.069101
245,0,Circulation line clockwise,________,34.945917,137.071971
246,0,Circulation line clockwise,____,34.948472,137.075048
247,0,Circulation line clockwise,____,34.950385,137.076939
248,0,Circulation line clockwise,__,34.95315,137.07828
249,0,Circulation line clockwise,__,34.955485,137.076496
250,0,Circulation line clockwise,_____,34.957921,137.073289
251,0,Circulation line clockwise,______,34.959745,137.073922
252,0,Circulation line clockwise,______,34.960092,137.075681
253,0,Circulation line clockwise,____,34.958453,137.078481
254,0,Circulation line clockwise,__________,34.959119,137.080866
255,0,Circulation line clockwise,_____,34.959851,137.083542
256,0,Circulation line clockwise,_____,34.958952,137.086672
257,0,Circulation line clockwise,____,34.956826,137.088448
258,0,Circulation line clockwise,____,34.95581,137.089513
259,0,Circulation line clockwise,___,34.954293,137.091072
260,0,Circulation line clockwise,____,34.952517,137.09244
261,0,Circulation line clockwise,__,34.952585,137.087719
262,0,Circulation line clockwise,____,34.949877,137.085777
263,0,Circulation line clockwise,_____,34.947522,137.084076
264,0,Circulation line clockwise,______,34.940746,137.078221
266,0,Circulation line clockwise,___,34.943536,137.069101
267,0,Circulation line clockwise,________,34.945917,137.071971
268,0,Circulation line clockwise,____,34.948472,137.075048
269,0,Circulation line clockwise,____,34.950385,137.076939
270,0,Circulation line clockwise,__,34.95315,137.07828
271,0,Circulation line clockwise,__,34.955485,137.076496
272,0,Circulation line clockwise,_____,34.957921,137.073289
273,0,Circulation line clockwise,______,34.959745,137.073922
274,0,Circulation line clockwise,______,34.960092,137.075681
275,0,Circulation line clockwise,____,34.958453,137.078481
276,0,Circulation line clockwise,__________,34.959119,137.080866
277,0,Circulation line clockwise,_____,34.959851,137.083542
278,0,Circulation line clockwise,_____,34.958952,137.086672
279,0,Circulation line clockwise,____,34.956826,137.088448
280,0,Circulation line clockwise,____,34.95581,137.089513
281,0,Circulation line clockwise,___,34.954293,137.091072
282,0,Circulation line clockwise,____,34.952517,137.09244
283,0,Circulation line clockwise,__,34.952585,137.087719
284,0,Circulation line clockwise,____,34.949877,137.085777
285,0,Circulation line clockwise,_____,34.947522,137.084076
286,0,Circulation line clockwise,______,34.940746,137.078221
288,0,Circulation line clockwise,___,34.943536,137.069101
289,0,Circulation line clockwise,________,34.945917,137.071971
290,0,Circulation line clockwise,____,34.948472,137.075048
291,0,Circulation line clockwise,____,34.950385,137.076939
292,0,Circulation line clockwise,__,34.95315,137.07828
293,0,Circulation line clockwise,__,34.955485,137.076496
294,0,Circulation line clockwise,_____,34.957921,137.073289
295,0,Circulation line clockwise,______,34.959745,137.073922
296,0,Circulation line clockwise,______,34.960092,137.075681
297,0,Circulation line clockwise,____,34.958453,137.078481
298,0,Circulation line clockwise,__________,34.959119,137.080866
299,0,Circulation line clockwise,_____,34.959851,137.083542
300,0,Circulation line clockwise,_____,34.958952,137.086672
301,0,Circulation line clockwise,____,34.956826,137.088448
302,0,Circulation line clockwise,____,34.95581,137.089513
303,0,Circulation line clockwise,___,34.954293,137.091072
304,0,Circulation line clockwise,____,34.952517,137.09244
305,0,Circulation line clockwise,__,34.952585,137.087719
306,0,Circulation line clockwise,____,34.949877,137.085777
307,0,Circulation line clockwise,_____,34.947522,137.084076
308,0,Circulation line clockwise,______,34.940746,137.078221
310,0,Circulation line clockwise,___,34.943536,137.069101
311,0,Circulation line clockwise,________,34.945917,137.071971
312,0,Circulation line clockwise,____,34.948472,137.075048
313,0,Circulation line clockwise,____,34.950385,137.076939
314,0,Circulation line clockwise,__,34.95315,137.07828
315,0,Circulation line clockwise,__,34.955485,137.076496
316,0,Circulation line clockwise,_____,34.957921,137.073289
317,0,Circulation line clockwise,______,34.959745,137.073922
318,0,Circulation line clockwise,______,34.960092,137.075681
319,0,Circulation line clockwise,____,34.958453,137.078481
320,0,Circulation line clockwise,__________,34.959119,137.080866
321,0,Circulation line clockwise,_____,34.959851,137.083542
322,0,Circulation line clockwise,_____,34.958952,137.086672
323,0,Circulation line clockwise,____,34.956826,137.088448
324,0,Circulation line clockwise,____,34.95581,137.089513
325,0,Circulation line clockwise,___,34.954293,137.091072
326,0,Circulation line clockwise,____,34.952517,137.09244
327,0,Circulation line clockwise,__,34.952585,137.087719
328,0,Circulation line clockwise,____,34.949877,137.085777
329,0,Circulation line clockwise,_____,34.947522,137.084076
330,0,Circulation line clockwise,______,34.940746,137.078221
332,0,Circulation line counterclockwise,_____,34.947522,137.084076
333,0,Circulation line counterclockwise,____,34.949877,137.085777
334,0,Circulation line counterclockwise,__,34.952585,137.087719
335,0,Circulation line counterclockwise,____,34.953232,137.09215
336,0,Circulation line counterclockwise,___,34.954293,137.091072
337,0,Circulation line counterclockwise,____,34.95581,137.089513
338,0,Circulation line counterclockwise,____,34.956826,137.088448
339,0,Circulation line counterclockwise,_____,34.959094,137.085996
340,0,Circulation line counterclockwise,_____,34.959851,137.083542
341,0,Circulation line counterclockwise,___,34.958617,137.081284
342,0,Circulation line counterclockwise,___,34.955452,137.079401
343,0,Circulation line counterclockwise,__,34.95315,137.07828
344,0,Circulation line counterclockwise,____,34.950385,137.076939
345,0,Circulation line counterclockwise,____,34.948472,137.075048
