row_i,rsrv_no,station_in,station_name_in,station_out,station_name_out,veh_type,veh_reg,veh_no,trip_duration,enrg_used,age_driver,id,gender,profes,time_rsrv,time_dep,time_pln_arr,time_in,time_out,lat_in,lng_in,lat_out,lng_out,commute,tempCelcius,rainfall-mm
43,USR-07278,STN-00247,八千代病院,STN-00247,八千代病院,P-COM,安城市0み428,428,1.05,0.6937,47,0493c582973b80,male_男性,office_worker_会社員,2016-05-03 12:00:00,2016-05-03 12:00:00,2016-05-03 12:00:00,2016-05-03 12:00:00,2016-05-03 12:00:00,34.986649,137.080223,34.986649,137.080223,errand,21.0,0.0
44,USR-07270,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み401,401,1.03333333333,0.8429,38,042ef3928f3680,female_女性,office_worker_会社員,2016-05-02 12:00:00,2016-05-02 12:00:00,2016-05-02 12:00:00,2016-05-02 12:00:00,2016-05-02 12:00:00,34.95951,137.087292,34.95951,137.087292,errand,25.6,0.0
45,USR-07271,STN-00204,ＪＲ安城駅前第１駐車場,STN-00230,サークルK安城大東町南店,P-COM,安城市0み401,401,5.86666666667,46.3265,38,042ef3928f3680,female_女性,office_worker_会社員,2016-05-02 12:00:00,2016-05-02 12:00:00,2016-05-02 12:00:00,2016-05-02 12:00:00,2016-05-02 12:00:00,34.95951,137.087292,34.96279451,137.0842754,commute,25.6,0.0
46,USR-07247,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み421,421,35.0166666667,256.3379,30,0445bc928f3680,male_男性,office_worker_会社員,2016-04-29 13:00:00,2016-04-29 13:00:00,2016-04-29 14:00:00,2016-04-29 13:00:00,2016-04-29 14:00:00,34.95951,137.087292,34.95951,137.087292,errand,16.9,0.0
47,USR-07245,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み421,421,14.6333333333,209.6097,40,044da5928f3680,female_女性,office_worker_会社員,2016-04-29 11:00:00,2016-04-29 11:00:00,2016-04-29 12:00:00,2016-04-29 11:00:00,2016-04-29 11:00:00,34.95951,137.087292,34.95951,137.087292,errand,16.1,0.0
48,USR-07207,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み415,415,5.03333333333,0.312,41,04fcf7928f3680,male_男性,self_employed_自営業,2016-04-24 10:00:00,2016-04-24 10:00:00,2016-04-24 11:00:00,2016-04-24 10:00:00,2016-04-24 10:00:00,34.95951,137.087292,34.95951,137.087292,errand,20.8,0.0
49,USR-07206,STN-00191,エコセンター安城,STN-00254,安城コロナワールド,P-COM,安城市0み426,426,5.78333333333,140.0973,43,042fc082973b80,male_男性,office_worker_会社員,2016-04-24 10:00:00,2016-04-24 10:00:00,2016-04-24 10:00:00,2016-04-24 10:00:00,2016-04-24 10:00:00,34.96174153,137.0845843,,,commute,20.8,0.0
50,USR-07208,STN-00204,ＪＲ安城駅前第１駐車場,STN-00202,碧海信用金庫本店,P-COM,安城市0み422,422,7.25,118.8031,41,04fcf7928f3680,male_男性,self_employed_自営業,2016-04-24 10:00:00,2016-04-24 10:00:00,2016-04-24 11:00:00,2016-04-24 11:00:00,2016-04-24 11:00:00,34.95951,137.087292,34.95775399,137.0852319,commute,20.8,0.0
51,USR-07126,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み425,425,74.0666666667,945.3603,37,04b4bb82973b80,female_女性,other,2016-04-17 16:00:00,2016-04-17 16:00:00,2016-04-17 17:00:00,2016-04-17 16:00:00,2016-04-17 17:00:00,34.95951,137.087292,34.95951,137.087292,errand,27.3,0.0
52,USR-07071,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み415,415,36.7333333333,286.0565,48,044f5b92752f80,female_女性,office_worker_会社員,2016-04-11 17:00:00,2016-04-11 17:00:00,2016-04-11 19:00:00,2016-04-11 17:00:00,2016-04-11 18:00:00,34.95951,137.087292,34.95951,137.087292,errand,12.1,0.0
53,USR-07072,STN-00249,北部公民館,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み423,423,18.2,336.5554,50,04e1c582973b80,male_男性,office_worker_会社員,2016-04-11 17:00:00,2016-04-11 17:00:00,2016-04-11 18:00:00,2016-04-11 17:00:00,2016-04-11 18:00:00,34.992919,137.090618,34.95951,137.087292,commute,12.1,0.0
54,USR-07070,STN-00223,ビレッジ開発本社,STN-00229,サークルK東刈谷駅北口店,P-COM,安城市0み417,417,9.06666666667,161.9635,68,047f1882973b84,,office_worker_会社員,2016-04-11 17:00:00,2016-04-11 17:00:00,2016-04-11 17:00:00,2016-04-11 17:00:00,2016-04-11 17:00:00,34.96831091,137.0565222,34.9789463,137.0450584,commute,12.1,0.0
55,USR-07073,STN-00237,サークルK安城篠目童子店,STN-00237,サークルK安城篠目童子店,P-COM,安城市0み427,427,71.95,276.5121,43,04842992752f80,female_女性,office_worker_会社員,2016-04-11 17:00:00,2016-04-11 17:00:00,2016-04-11 19:00:00,2016-04-11 17:00:00,2016-04-11 19:00:00,34.97129268,137.0651927,34.97129268,137.0651927,errand,12.1,0.0
56,USR-07049,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み420,420,82.8,922.7976,36,04a12582973b84,,,2016-04-09 11:00:00,2016-04-09 11:00:00,2016-04-09 13:00:00,2016-04-09 11:00:00,2016-04-09 12:00:00,34.95951,137.087292,34.95951,137.087292,errand,19.4,0.0
57,USR-07042,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み420,420,20.6833333333,293.1168,41,04b11c928f3684,male_男性,office_worker_会社員,2016-04-08 15:00:00,2016-04-08 15:00:00,2016-04-08 16:00:00,2016-04-08 15:00:00,2016-04-08 15:00:00,34.95951,137.087292,34.95951,137.087292,errand,17.9,0.0
58,USR-07023,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み422,422,67.25,278.053,52,042e6592752f80,male_男性,office_worker_会社員,2016-04-07 07:00:00,2016-04-07 07:00:00,2016-04-07 09:00:00,2016-04-07 08:00:00,2016-04-07 09:00:00,34.95951,137.087292,34.95951,137.087292,errand,12.4,2.0
59,USR-07022,STN-00240,サークルK安城宮前店,STN-00198,安城市役所,P-COM,安城市0み425,425,8.08333333333,125.9246,51,04e65e92752f80,male_男性,civil_servant_公務員,2016-04-07 07:00:00,2016-04-07 07:00:00,2016-04-07 08:00:00,2016-04-07 08:00:00,2016-04-07 08:00:00,34.9486365,137.0933813,34.95856945,137.0797999,commute,12.4,2.0
60,USR-07018,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み415,415,84.4333333333,272.221,48,044f5b92752f80,female_女性,office_worker_会社員,2016-04-06 15:00:00,2016-04-06 15:00:00,2016-04-06 18:00:00,2016-04-06 16:00:00,2016-04-06 17:00:00,34.95951,137.087292,34.95951,137.087292,errand,21.8,0.0
61,USR-07017,STN-00198,安城市役所,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み422,422,3.63333333333,75.2788,35,04a6c682973b80,male_男性,civil_servant_公務員,2016-04-06 15:00:00,2016-04-06 15:00:00,2016-04-06 15:00:00,2016-04-06 15:00:00,2016-04-06 15:00:00,34.95856945,137.0797999,34.95951,137.087292,commute,21.8,0.0
62,USR-06998,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み401,401,102.316666667,824.8091,36,04a12582973b84,,,2016-04-03 17:00:00,2016-04-03 17:00:00,2016-04-03 20:00:00,2016-04-03 18:00:00,2016-04-03 19:00:00,34.95951,137.087292,34.95951,137.087292,errand,17.9,0.0
